,title,company name,link,date listed,salary,job description,Partially visually impaired,Hearing Impaired,LV,HI,MPD,PD,CP
150,PORT EQUIPMENT SPECIALIST,Maritime Singapore Connect,sg.indeed.com/rc/clk?jk=52fd9e0ce4d0a3e1&fccid=2e2e119022ee01f4&vjs=3,Posted30+ days ago,"$2,000 a month","Port Equipment Specialists operates port machinery such as quay cranes, yard cranes, fork lifts and prime movers in a safe and efficient manner that complies…",0.0,3.0,0,0,0,0,0
151,Store Supervisor,EVEYIYI PTE. LTD.,sg.indeed.com/rc/clk?jk=3478feb87d1690c4&fccid=3e30db55f831d3cc&vjs=3,Posted3 days ago,"$2,500 - $3,000 a month","Ensure daily operation activities such as Cashiering, Stock-taking as well as storage of food, care of shop equipment and cleaning duties etc are carried out…",0.0,4.0,0,1,1,1,1
152,Call Centre Agent,DHL SUPPLY CHAIN SINGAPORE PTE. LTD.,sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuWpd06JaTHFjvTB_5q6-0gBNCyrzTNez_CNw5GfFr-dawQ-dn407wv4GcMUQEu62VmA2ZjvVUY4dhgWuf3L0mX6d76c3ncmH8xysOY12PRZ_GufYgHaBaNGAhnCr1rvQuRy26_y9ZQax1yYFzJei5gmSJzCR1JLre4kbIMWa1vsfjackmZOb84rcq7JUv2C_MhA0mA_zxQ92BV-g8shaQwYBTplKYVxrM_bEwSb1okBkbQTYmLBjSGaCCKpCIXeo91nhl9Jt_8Kggy6GH_RcT9wBDDc8xxhDy76wAxE07pONONDmvqBHqiHtRuqt_wA1FzFuhLZgO2gKf1eFv-EbX-Xi9rWo7ujinGt5Fpe7rcd5PMa2Q-Cy1jb-d0MIqaXvKLEQAU25trpiuPMzOJiM7lGyhQWSz1Qk0Qlb6AMPY-HGqOZOcBl_5MXtQwQ0MOTXCIyt93G1SJA8SqEwz25jku_i0Oz9wBAmiv-c_JP4miVvDC9QkRcyClrRgy1IHX7Pgzo4uzkPV_PowWnVvqr2nUFO50-MNtZbayv1bZe05lKKsf0043kc_4sdl3R6poi4_TQmJdEOHYkQ2XyiMsA8W9IyZ52zRyOr4GESC_51xssXovpKOXwhYmCoyKRKun76jbV1oZUZ3I0Vnq1wcySQA_4i3OIliU8L4-VIFZk66Y0poz9hxK8q3bye0ActIXy9brarMvMF7JimcvWhyexzmLf4mUW7dDNDMqFefMzZ2RmrHQy_9t7dLN3pERDlf7GPNH3UnF3dYLpFSL18FJVr885uLOl1UzS4dl6dGXicztSN14_0-z9wf-Ye4zR94400=&p=1&fvj=0&vjs=3,Posted30 days ago,"$2,600 - $3,800 a month","Candidate must possess at least N level/College, any field.
At least 1 year Call Centre/Customer Service experience will be an advantange.",4.0,0.0,1,0,1,1,0
153,Driver / warehouse,PACKMAN SG PTE. LTD.,sg.indeed.com/rc/clk?jk=ad7e52e05f6a299a&fccid=f049a24b2ea98afe&vjs=3,Posted3 days ago,"$2,100 - $2,500 a month","We are looking for a responsible Driver to coordinate in receiving and sending goods to-and-fro the warehouse and to customers.
Annual leave and Birthday off.",0.0,4.0,0,0,0,0,0
154,Warehouse Assistant,T. K. H Lighting & Electrical Trading & T. K. H...,sg.indeed.com/company/T-K-H-Lighting-&-Electrical-Trading-&-T-K-H-Deco/jobs/Warehouse-Assistant-e18d63f4fb4f84a2?fccid=8051a3b9dc64e086&vjs=3,EmployerActive 2 days ago,"$1,800 - $2,400 a month","At least 2 years of working experience in related field.
Conduct daily housekeeping to ensure the warehouse is neat, tidy and clean.",0.0,4.0,1,1,1,1,1
155,Events Associate,Erudite Solutions,sg.indeed.com/company/Erudite-Solutions/jobs/Event-Associate-c5ba4e283e6cc4e6?fccid=a7eb5cb18cc9879b&vjs=3,Posted14 days ago,"$3,500 - $4,500 a month","Executing campaigns for the client assigned to you.
Bi-weekly team nights (past activities include bowling, laser tag, Super Park and more).",1.0,3.0,1,0,1,1,1
156,Personal Assistant,JoinUs Asia,sg.indeed.com/company/JoinUs-Asia-Singapore/jobs/Personal-Assistant-71d0aeefbc28a1b1?fccid=4ca462f36111106f&vjs=3,Posted10 days ago,"$6,000 - $10,000 a month","Assisting the Senior Management in the discharge of his/her duties in order to.
Minimize the associated administrative and operational burdens.",1.0,2.0,1,1,1,1,0
157,Office Admin,Gateway of Asia,sg.indeed.com/company/GATEWAY-OF-ASIA-PTE.-LTD./jobs/Office-Admin-7652ced01a07cc0f?fccid=38a6bbac2f12a6cd&vjs=3,EmployerActive 2 days ago,"$1,800 - $2,000 a month",You play an important role to ensure administrative support are provided to the internal teams to facilitate smooth delivery of our Company Services to client.,2.0,2.0,0,0,1,1,0
158,Administrator,Desmond Teo Agency (An AIA Agency),sg.indeed.com/company/AIA-DTA/jobs/Administrator-3b9269386f14c519?fccid=c37be5b54038f225&vjs=3,EmployerActive 1 day ago,"$2,000 - $6,982 a month","Able to work 1 hr per day or able to complete tasks.
Part-time hours: 5 per week.
Part-time hours: 5 per week.
Need to update and clear my email and excel.",1.0,5.0,1,1,1,1,1
159,Aircraft Brake Cleaner,AEROSPEC SUPPLIES PTE LTD,sg.indeed.com/rc/clk?jk=58b48523dec306a2&fccid=bb02a50fa198938d&vjs=3,Posted8 days ago,"$2,000 - $2,100 a month","Corrosion removal for aircraft brakes by blasting.
Paint removal for aircraft brakes by blasting.
Required to handle heavy items, eg. aircraft brake.",2.0,4.0,0,0,0,0,0
160,CLINIC EXECUTIVE,FAMILY ENT SNORING SPECIALISTS PTE. LTD.,sg.indeed.com/rc/clk?jk=db1bfb7bae331539&fccid=9aaf6bab24926868&vjs=3,Posted9 days ago,"$2,200 - $3,200 a month","Prior experience in medical field with medical knowledge is highly preferred.
Providing front-line service to patients and visitors pro-actively.",1.0,1.0,0,0,0,0,0
161,Guest Services Officer,ROYAL PLAZA,sg.indeed.com/rc/clk?jk=af4a2c0af05f9160&fccid=9888000c814c7698&vjs=3,Posted3 days ago,"$1,800 - $2,300 a month",Make our guests feel at home with your wholehearted friendliness while you attend to their arrival/ departure needs promptly with full accuracy.,3.0,3.0,0,1,1,1,0
162,Warehouse Supervisor,TAURUS ONE PRIVATE LIMITED,sg.indeed.com/rc/clk?jk=c7bd6c219fed160f&fccid=3ba7e8f8328dbd14&vjs=3,Posted3 days ago,"$2,800 - $4,000 a month","Fluency in written and verbal English is a must; fluency in one other language will be advantageous.
As a Warehouse Supervisor, you will be responsible for…",3.0,0.0,1,0,1,1,0
163,Hotel Maintenance Technician,HARBOUR VILLE PTE. LTD.,sg.indeed.com/rc/clk?jk=56336b8f7b688941&fccid=2886c81653d3fe17&vjs=3,Posted7 days ago,"$2,200 - $2,400 a month","Inspect hotel regularly to ensure it meets safety standards.
Arrange for routine maintenance in hotel rooms, lobbies and facilities.",2.0,4.0,0,0,1,0,0
164,Subcontract Administrator,"TECNICAS REUNIDAS, S.A. (SINGAPORE BRANCH)",sg.indeed.com/rc/clk?jk=804f62891bc04f61&fccid=0791ba765f154c34&vjs=3,Posted8 days ago,"$6,000 - $12,000 a month","Administers large moderately complex (sub)contracts.
Maintains a continuing review of the progress of each (sub)contract and provides management with…",2.0,4.0,1,1,1,1,1
165,Parcel Delivery Driver,AP Last Miles,sg.indeed.com/company/Laksa-house-pte-Ltd/jobs/Parcel-Delivery-Driver-830a8ef0db77f5ec?fccid=588c40b1396ea1f5&vjs=3,PostedToday,"$4,000 - $5,000 a month","Looking for 4 Van and 3 car parcel delivery drivers.
Job Types: Full-time, Permanent, Temporary.
Class 3 Driving Licence (Preferred).",0.0,5.0,0,0,0,0,0
166,Electrical Site Assistant,LIGHT & LIGHTS PTE. LTD.,sg.indeed.com/rc/clk?jk=f4f369c25b95e23e&fccid=48c768b9f30f88f8&vjs=3,Posted8 days ago,"$2,800 - $3,500 a month","Seek for detailed information and always complete the works perfectly.
Liase with administrative colleagues on the updated schedule and list of the works done.",1.0,4.0,1,1,1,1,0
167,Admin Assistant,Singapore Biz,sg.indeed.com/company/Singapore-Biz-Solutions-Pte-Ltd/jobs/Admin-Assistant-2b5d407bda47ccf0?fccid=e9f93b5c89c2e674&vjs=3,EmployerActive 1 day ago,"$1,800 - $2,500 a month","Able to handle simple accounts, Invoices, communicating with clients and follow-up, documentation, report generating, Filiing, other office duties as and when…",2.0,3.0,1,1,1,1,1
168,Customer Service Support,JOHN ETHANS INTERNATIONAL PTE. LTD.,sg.indeed.com/rc/clk?jk=62b27eeba9b5c2d1&fccid=f2600741c99c4d84&vjs=3,Posted8 days ago,"$2,500 - $3,000 a month","We are sourcing on behalf of our client for a Customer Service Support, based in Singapore.
Respond to customer user issues within the stipulated timeframe via…",1.0,1.0,0,0,0,0,0
169,Administrative Assistant #SGJOBSUNITED,TVI PTE. LTD.,sg.indeed.com/rc/clk?jk=b4302b4ee0427f55&fccid=e658b9b2452f9180&vjs=3,Posted2 days ago,"$2,000 - $2,400 a month","Assist the accounts, purchaser, sales support in data entry.
Assist in filing daily records, generating invoices.
Assist in answering telephone call queries.",1.0,0.0,1,1,1,1,1
170,Warehouse Manager,Olivers & Partners Pte Ltd,sg.indeed.com/rc/clk?jk=34fc5ced79fb9d19&fccid=dd616958bd9ddc12&vjs=3,Posted30+ days ago,"$4,500 - $5,000 a month","Minimum Diploma in related field.
Managing inbound/outbound day to day shipment.
Ensure on time delivery and accurate shipments.",2.0,4.0,0,0,1,1,1
171,Trader,Fortitude Fund Management Pte Ltd,sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CvtvHCEpMGxgAUCjZ1ksWkyZMv6_4wiznqmWeHT4nQbQOy_Cw7hBVqbEWLIP1NHt1Os_MsITK5ZkDsibgxBe5OhdquavuM3BZGaJZVwWoAHIGv90ssiNi3xjlU8zPZeoV-FOjHDJJLZ5x4KSSn6hrab8EZV7YSHF854d78Fa-GKPY9D8fx6JgpS_lnFDxObzB3IG897leiaQp7EThUNG1x4hk11UCntZK_eeT7IU3vfgm0rqj5uJIWjfbGNH2rr4XKSxAe5j4oXLASSyh7tfXwV7iRMcv0uh6cM1886-M61ch2ititkdFxLAqagOjloH6NMA4g-DNPkJE4J6mAKl_zW-Ki4KZlyiVjYU3HxLot80ALQ0oo4derKp_EXs0Hhc7YR3M0K9s72lf38c81WOft87E63JMRH15TWL3bZea4-qR0VGWqOrfb3iWQB8SgsoQwnEG6_BXOag==&p=1&fvj=1&vjs=3,EmployerActive 2 days ago,"$2,000 - $6,000 a month",We are currently looking for applicants who have a passion for trading (Wide variety of asset classes of your choice) and a thirst for knowledge and developing…,1.0,4.0,0,0,0,0,0
172,Warehouse Assistant,JETAIME PERFUMERY PTE. LTD.,sg.indeed.com/rc/clk?jk=f5700f9f0a88bd84&fccid=393fcfbcc08260cc&vjs=3,Posted16 days ago,"$1,800 - $2,200 a month","Pack and fill perfume bottles.
Order picking according to pick list requirement.
Receipt of all materials coming into warehouse, providing assurance that the…",2.0,5.0,1,1,1,1,1
173,Warehouse Assistant #48123,Anradus Pte Ltd,sg.indeed.com/company/Anradus-Pte-Ltd/jobs/Warehouse-Assistant-1bf78cbd8ec51f79?fccid=3de18cfd2560ba9a&vjs=3,Posted1 day ago,"$1,800 - $2,500 a month","At least 1 year(s) of working experience in the related field is required for this position.
Working Hours: 5.5 days; Mon - Fri (8:30AM - 5:30PM), Sat (8:30AM…",4.0,4.0,1,0,1,1,0
174,Safety Coordinator,D-TEAM ENGINEERING PTE. LTD.,sg.indeed.com/rc/clk?jk=121627370bd43c80&fccid=2960433a1c1c079e&vjs=3,Posted9 days ago,"$2,300 - $3,600 a month",Ensure project works are conducted according to company’s regulation and assist in implementing company's rules and regulations.,2.0,4.0,1,0,1,1,1
175,Warehouse Assistant,Nayaka,sg.indeed.com/rc/clk?jk=a502d93c672f5348&fccid=400a3596fa18ba6c&vjs=3,Posted30+ days ago,"$2,200 - $3,100 a month","Minimum 1 year of relevant experience.
In-charged of refurbished air-conditioning – in stocks and out stocks, tagging of stocks and maintaining of refurbished…",3.0,5.0,1,1,1,1,1
176,Admin / HR Assistant,ML CONSULTING PTE LTD,sg.indeed.com/rc/clk?jk=945e06e2adf8a7ff&fccid=ad9a3ecbf47aa7af&vjs=3,Posted9 days ago,"$1,800 - $2,500 a month","Able to start immediate / short notice preferred.
Administer work pass applications, cancellation and renewal.
Proficient in Microsoft Word and Excel.",0.0,5.0,0,0,0,1,0
177,SENIOR CITIZEN LIGHT WORK,HK MARINE PTE. LTD.,sg.indeed.com/rc/clk?jk=8964625e93d8d8f7&fccid=6cf3c802ab833861&vjs=3,Posted7 days ago,"$1,300 - $1,800 a month",We are HK MARINE PTE LTD doing business of ship agent and ship supply. we are looking for two (2) senior citizen general workers.,5.0,5.0,0,0,0,0,0
178,Operations Assistant - Logistics / MNC #37808a,Anradus Pte Ltd,sg.indeed.com/company/Anradus-Pte-Ltd/jobs/Operation-Assistant-6d2944c02cab7b33?fccid=3de18cfd2560ba9a&vjs=3,Posted1 day ago,"$1,800 - $2,500 a month","Working Location: Jurong Island (Company Transportation Provided).
Working Hours: 4 days, 12 hours Rotating Shift (2 weeks day shifts + 2 weeks night shift).",4.0,4.0,1,0,1,1,0
179,Project Executive,FIRSTCOM SOLUTIONS PTE LTD,sg.indeed.com/company/Firstcom-Solutions-Pte-Ltd/jobs/Project-Executive-5b2b69c2d9c9cad4?fccid=c6753ffc51a94925&vjs=3,Posted1 day ago,"$3,000 - $4,500 a month","Manage and coordinate growth driven web projects with clients and internal stakeholders, ensuring quality and on-time completion.",1.0,2.0,1,1,1,1,1
180,Camera Crew,1MediaConcepts,sg.indeed.com/company/1MediaConcepts/jobs/Camera-Crew-9d6850f4ac988ac5?fccid=4956f5584be8d425&vjs=3,Posted1 day ago,$7 - $20 an hour,"Part-time hours: 5 per week.
All staffs are required to be vaccinated as per our client's requirement.
We are looking for camera crew.",0.0,0.0,0,0,0,0,0
181,Software Tester,BANKING COMPUTER SERVICES PRIVATE LIMITED,sg.indeed.com/rc/clk?jk=e80c8d8c064c6762&fccid=ecf6300aaad76c48&vjs=3,Posted3 days ago,"$6,500 - $9,000 a month","O Black Box Testing (Functional and Non-Functional).
O Automated Testing using TestComplete.
O Defect Management and Tools.",2.0,3.0,1,0,0,0,0
182,Construction,MING SIA CONSTRUCTION & ENGINEERING PTE. LTD.,sg.indeed.com/rc/clk?jk=c00ef73cee61cbf4&fccid=dd616958bd9ddc12&vjs=3,Posted4 days ago,"$2,500 - $4,500 a month","Perform rebar work/formwork/casting and etc.
Maintain a clean work environment.
Assist in Collection of Goods-.
May need to carry heavy items 5-10kg.",4.0,4.0,0,0,0,1,0
183,Customer Excellence Executive,RYDE TECHNOLOGIES PTE. LTD.,sg.indeed.com/company/RYDE-TECHNOLOGIES-PTE.-LTD./jobs/Customer-Excellence-Executive-370089addb2fae97?fccid=f4207600fc20bb1e&vjs=3,EmployerActive 2 days ago,"$2,200 - $3,000 a month",Ryde Technologies is looking to hire a *Customer Excellence Executive* to provide technical support to users in an efficient and accurate manner.,2.0,4.0,1,0,1,1,1
184,Civil Engineer,ADROITZ PTE LTD,sg.indeed.com/rc/clk?jk=b61b8aaa0b441887&fccid=c775c4ee0b9a1119&vjs=3,Posted30+ days ago,"$2,200 - $4,000 a month","Minimum Diploma in Civil Engineering.
No experience but willing to learn is welcome.
Manage workers and site progress.",3.0,3.0,1,1,1,1,0
185,Office Administrator,JADIA LOGISTICS PTE. LTD.,sg.indeed.com/company/JADIA-LOGISTICS-PTE.-LTD./jobs/Office-Administrator-4afb7a4309555966?fccid=786795fd29025c04&vjs=3,PostedToday,"$2,200 - $2,800 a month","2 year of working experience in the related field.
Responsible for accurate and timely one a month payroll processing for about 40 employees.",3.0,3.0,1,1,1,1,1
186,Technical Support Engineer,Adventus Singapore Pte Ltd,sg.indeed.com/company/Adventus-Singapore-Pte-Ltd/jobs/Technical-Support-Engineer-dd224cc6dc210646?fccid=62ff4292362b7dae&vjs=3,EmployerActive 5 days ago,"$2,500 - $3,600 a month","Provide on-site and/or remote technical assistance to end-users, diagnosis and troubleshooting of technical problems.
Job Types: Full-time, Permanent.",0.0,0.0,1,0,1,1,0
187,️Urgently Hiring Production Operator || Attractive Incentive...,EMS,sg.indeed.com/company/Elite-Management-Services/jobs/Production-Operator-Attractive-Incentive-Provided-1b67b781892a3190?fccid=56bcf0e6341b5799&vjs=3,EmployerActive 1 day ago,"$4,000 a month","Assembly Medical Devices in the production line.
Good eyesight and a pair of steady hand.
\*12 hours shift : 7pm-7am.
\*8 hours shift : 3pm-11pm or 11pm-7am.",0.0,4.0,1,0,1,1,1
188,Teacher,FUREN INTERNATIONAL SCHOOL,sg.indeed.com/company/Furen-International-School/jobs/Teacher-f3f2ba34c51d3133?fccid=51d376d0df5eb1c2&vjs=3,Posted3 days ago,"$1,500 - $4,000 a month","Min Bachelor degree and min 1 year teaching experience.
I. Prepare students for examinations at all levels in subjects assigned by the School.",1.0,1.0,0,0,0,0,0
189,Data Entry Clerk,ISO-Team Corporation Pte Ltd,sg.indeed.com/company/ISO-Team/jobs/Data-Entry-Clerk-dbc04f05736b5844?fccid=49946a9ff98434e0&vjs=3,Posted2 days ago,$8 - $10 an hour,"Part-time hours: 40 per week.
To provide assistance in keying in data such as journal entries into accounting system (i.e., Globe3).",0.0,5.0,0,0,0,0,0
190,Ads Quality Specialist - English Speaking,TikTok,sg.indeed.com/company/TikTok/jobs/Ads-Quality-Specialist-b71c300317cea8ba?fccid=caed318a9335aac0&vjs=3,EmployerActive 2 days ago,"$3,000 - $5,000 a month","English as working language in native level.
We will be prioritizing applicants who have a current right to work in Singapore, and do not require company…",4.0,0.0,1,0,0,1,0
191,Data Entry Administration Assistant Needed,Singapore,sg.indeed.com/rc/clk?jk=353a239902d1cd3f&fccid=3ddb8f68c8f9f588&vjs=3,Posted15 days ago,$25 an hour,"We will provide you full support, training and resources you need to get the job done.
Collaborate frequently with affected departments (Marketing).",2.0,2.0,1,0,1,1,1
192,Administration Officer (Claims),India International Insurance Pte Ltd,sg.indeed.com/company/India-International-Insurance/jobs/Administration-Officer-cde5f2059a554394?fccid=21d72ea26273976a&vjs=3,EmployerActive 1 day ago,"$2,000 - $3,200 a month","Minimum 1 year working experience in office administrative / finance work.
Administrative experience: 1 year (Preferred).
GCE O or A level.",2.0,3.0,1,0,1,1,1
193,Skipper,ALPHA MARINE,sg.indeed.com/company/Alpha-Marine/jobs/Skipper-0ef9ccb06f60bf00?fccid=cecd507d1b394878&vjs=3,EmployerActive 27 days ago,"$2,200 - $3,500 a month","We are looking for Yacht Captain that have leadership qualities, ability to work, respect and communicate with rotating crew on board.",4.0,4.0,0,0,0,0,0
194,Admin Clerk,MEA PTE. LTD.,sg.indeed.com/rc/clk?jk=821c6ea821ba6546&fccid=53ed8523b9912658&vjs=3,Posted4 days ago,"$1,500 - $2,500 a month","Answering phone calls and handle enquiries and calling customers to provide information.
Compiling, maintaining and updating company records and maintain…",2.0,2.0,0,0,0,0,0
195,Shipping Documentation Assistant,Sin Chiao Shipping Agency Pte Ltd,sg.indeed.com/company/Sin-Chiao-Shipping-Agency-Pte-Ltd/jobs/Shipping-Documentation-Assistant-65eeb20db0a95c3c?fccid=2208402267f11820&vjs=3,EmployerActive 2 days ago,"$2,400 - $2,800 a month","Input data through online system.
Prepare Invoices, Debit Notes, Credit Notes, Statement of Accounts.
Experience in shipping documents (e.g. Bills of Lading,…",1.0,4.0,1,1,1,1,1
196,Caregiver,Homage,sg.indeed.com/company/Homage-Co-Pte-Ltd/jobs/Caregiver-3bcf44ce1f02a103?fccid=288029edb6c524ff&vjs=3,EmployerActive 3 days ago,$19 an hour,"Depending on your schedule and commitment, we would love to have you on the team as a freelance, short-term contract or full-time caregiver.",3.0,3.0,0,0,0,0,0
197,Process Technician,Corestaff Pte Ltd,sg.indeed.com/rc/clk?jk=aab634eff20f2a2d&fccid=9d2768a60c4e2811&vjs=3,Posted30+ days ago,"$3,000 - $4,000 a month","Temporary / Contract/ Project Based placement.
Process Technician (Entry Level / West).
Attractive Company Benefits (AWS + VBs + Allowance).",1.0,4.0,0,0,1,0,0
198,Admin Assistant (Sales Admin) #51016,Anradus Pte Ltd,sg.indeed.com/company/Anradus-Pte-Ltd/jobs/Admin-Assistant-e8b8b2f19cd40658?fccid=3de18cfd2560ba9a&vjs=3,Posted1 day ago,"$1,800 - $2,500 a month","At least 1-year of experience working as an admin.
Position Title: *Admin Assistant (Sales Support Admin/ Sales Coordinator)*.
Handle phone calls from clients.",3.0,1.0,1,0,1,1,0
199,Human Resource executive,ATO Partners Pte Ltd,sg.indeed.com/company/ATO-Partners-Pte-Ltd/jobs/Human-Resource-Executive-0811705daa26a9d3?fccid=a0ee3db8026a9679&vjs=3,Posted3 days ago,"$1,710 - $4,781 a month","Source and pre-qualify candidates that match business requirements.
Human resources: 1 year (Preferred).
Part-time hours: 20 per week.",2.0,3.0,1,1,1,1,1
200,Hotel / Service Apartment Management Trainee,SEE MY SOLUTIONS,sg.indeed.com/rc/clk?jk=e2eb0bd74612212c&fccid=350f9f79c0560d02&vjs=3,Posted10 days ago,"$2,500 - $5,000 a month","We are an outsource company. Looking for Talented, Positive and can do attitude Management Trainee for hospitality and F&B projects. You will need to hands…",2.0,4.0,0,0,0,0,0
201,Shop Sales Assistant,DOLISH NAIL SPA,sg.indeed.com/rc/clk?jk=325f4c35f76f8954&fccid=a6a5eaba11c7ea8e&vjs=3,Posted4 days ago,"$2,900 - $3,400 a month","To ensure product are well stocked and follow merchandise display standards.
Actively promote and assist customer in selecting product.",3.0,4.0,1,1,1,1,1
202,Chairman Personal Assistant,STRAITDEER PTE. LTD.,sg.indeed.com/rc/clk?jk=3e4c5d33b8f34643&fccid=2569bd88a078dbe1&vjs=3,Posted12 days ago,"$7,000 - $13,000 a month","Proven ability to work well with all levels of management, handle confidential and sensitive information, work independently and under pressure and handle…",1.0,1.0,1,0,1,1,0
203,Freelance (Marine Sample Collectors),Medscan Pte. Ltd,sg.indeed.com/rc/clk?jk=db3394b82cf9e70d&fccid=2c7bc75ecf96bb6f&vjs=3,Posted30+ days ago,$200 a day,"Entry Level / Junior Executive, Experienced / Senior Executive.
We are looking for freelancers who reside near Singaporean port areas and can travel to the…",4.0,5.0,0,0,0,0,0
204,Office Administrator,Real Estate School,sg.indeed.com/company/Real-Estate-School/jobs/Office-Administrator-ce3fe14c8ee9d3ba?fccid=847b14c039dc1229&vjs=3,Posted5 days ago,"$1,800 - $2,500 a month","Being in charge of projects and liaising with people working on the projects.
Setting up of lighting equipment/camera/switcher for livestream videos.",,,1,1,1,1,1
205,Admin Assistant (Sales Coordinator) #51826,Anradus Pte Ltd,sg.indeed.com/company/Anradus-Pte-Ltd/jobs/Admin-Assistant-ec1bff5af4c2ea90?fccid=3de18cfd2560ba9a&vjs=3,Posted1 day ago,"$1,800 - $2,700 a month","At least 1 year of experience working as an admin.
Position Title: *Sales Admin / Admin Assistant (Sales Coordinator)*.
Handle phone calls from clients.",,,1,0,1,1,0
206,Part Time Admin Assistant (Uni Students Welcomed!!),JOW Consultancy,sg.indeed.com/company/JOW-Consultancy/jobs/Admin-Assistant-38101a3819c4f908?fccid=3f168b8881738111&vjs=3,EmployerActive 7 days ago,$15 an hour,"Provide administrative support to our team of premier consultants.
Simple Design Projects with Canva.
Managing day to day front and back end agency operations.",,,0,0,1,1,0
207,School Administrative Assistant,TALENT MARKETPLACE PTE. LTD.,sg.indeed.com/rc/clk?jk=b6b7f6486286f43c&fccid=4edb544a68c8ad22&vjs=3,Posted4 days ago,"$1,600 - $1,800 a month","Must be proficient in English language.
Retention incentives after every year of employment.
Manage and process Financial Assistance Schemes.",,,1,1,1,1,1
208,Admin Assistant,MODOLEEN ENT PTE LTD,sg.indeed.com/company/MODOLEEN-ENT-PTE-LTD/jobs/Admin-Assistant-edf2ff8853a3e12e?fccid=588c7f677cbaa0f4&vjs=3,EmployerActive 8 days ago,"$1,800 - $2,000 a month","Microsoft Excel: 1 year (Preferred).
Provides administrative support to ensure efficient operation of office.
Submit and reconcile expense reports.",,,1,1,1,1,1
209,Administrative Assistant,First Affiliation,sg.indeed.com/company/First-Affiliation/jobs/Administrative-Assistant-40a8fa0c91a19278?fccid=4f0799c3d9e60fba&vjs=3,EmployerActive 2 days ago,"$2,500 - $5,000 a month","Act as the point of contact between the executives and internal/external clients.
Undertake the tasks of receiving calls, taking messages and routing…",,,1,1,1,1,1
210,Logistics Executive,JoinUs Asia,sg.indeed.com/company/JoinUs-Asia-Singapore/jobs/Logistic-Executive-cf95044627007f64?fccid=4ca462f36111106f&vjs=3,Hiring ongoing,"$3,000 - $3,300 a month","Update customers on shipment status and addressing customers’ enquiries on shipment movement and arrangement.
Enter shipment data in freight management software…",,,1,1,1,1,1
211,Student Admissions & Services Executive,ST FRANCIS METHODIST SCHOOL LTD.,sg.indeed.com/rc/clk?jk=6705195cade7e249&fccid=1cfe27a0001fdc07&vjs=3,Posted3 days ago,"$2,600 - $3,200 a month","Minimum 1 year of relevant working experience, preferably in the education industry.
Handling all operational matters relating to student enrolment and academic…",,,1,0,1,1,1
212,administrator,YASEEN PTE. LTD.,sg.indeed.com/rc/clk?jk=15219d72a1ff7592&fccid=4b88dae56b03dc2c&vjs=3,Posted7 days ago,"$2,700 - $4,500 a month","Be responsible for providing administrative support to our office personnel.
Administrator’s role will include working closely with our leadership team by…",,,1,1,1,1,1
213,Sales Assistant,YASEEN PTE. LTD.,sg.indeed.com/rc/clk?jk=8a0ea3d46183c18c&fccid=4b88dae56b03dc2c&vjs=3,Posted7 days ago,"$2,700 - $4,500 a month","Look for stock requested by customers.
Keep the stock room organized.
Elevate customer complaints to the manager.",,,1,1,1,1,1
214,Management Trainee ( Training Provided),Fort Financial Pte Ltd,sg.indeed.com/company/Fort-Financial-Pte-Ltd/jobs/Management-Trainee-85b90e19ed6f731f?fccid=a2b37679afac618c&vjs=3,Posted4 days ago,"$3,000 - $4,500 a month","At least a Polytechnic Diploma, A-Levels, Bachelor's Degree, Professional Degree, any field.
Comprehensive and professional training will be provided and paid…",,,1,0,1,1,1
215,Customer Service and Administration,INGUN SOUTH EAST ASIA PTE. LTD.,sg.indeed.com/rc/clk?jk=195bb921b2e251f4&fccid=64dbedfc00f96d51&vjs=3,Posted8 days ago,"$2,800 - $4,000 a month","Communication with national and international customers, the field sales representatives, and internal interfaces, as well as supporting company operations by…",,,1,1,1,1,1
216,Personal Driver,Nervina Next Pte Ltd,sg.indeed.com/company/Nervina-Next-Pte-Ltd/jobs/Personal-Driver-2ebc7edcc6a5cd06?fccid=ea3bfce2550847c8&vjs=3,Posted2 days ago,"$3,000 - $3,500 a month","To drive kids to school and back to home.
Daily working hours from 12 pm to 12 am subject to OT as request.
Keep clean and maintain the car well.",,,0,0,0,0,0
217,WAREHOUSE ASSISTANT (5DAY WEEK)#SeniorsWelcome,Aerospec Supplies Pte Ltd,sg.indeed.com/company/Aerospec-Supplies-Pte-Ltd/jobs/Warehouse-Assistant-Seniorswelcome-2f1ebb71b7fdde00?fccid=bb02a50fa198938d&vjs=3,PostedToday,"$1,500 - $1,600 a month","Warehouse experience: 1 year (Required).
Job Types: Full-time, Contract.",,,0,0,0,0,0
218,Cashier (Full Time or Part Time),TIAN MA GROUP HOLDINGS PRIVATE LIMITED,sg.indeed.com/company/TIAN-MA-GROUP-HOLDINGS-PRIVATE-LIMITED/jobs/Cashier-7f0c262100463242?fccid=691ad859fea93d01&vjs=3,EmployerActive 1 day ago,"$1,600 - $3,000 a month","Perform cashiering duties using POS system.
Report to HQ if there is any fault / discrepancy in POS machine's performance.",,,0,0,0,0,1
